HOOPMIND DIALOGFLOW ES INTENT EVALUATION
=======================================================
Tests: 130
Accuracy: 0.8846
Macro Precision: 0.8649
Macro Recall: 0.8214
Macro F1: 0.8312

INTENT                 PRECISION  RECALL   F1      SUPPORT
Default Fallback Intent 0.0000     0.0000   0.0000  0
all_star               0.8333     1.0000   0.9091  10
award_winner           1.0000     0.9000   0.9474  10
compare                1.0000     1.0000   1.0000  10
dataset_scope          0.8571     0.6000   0.7059  10
draft_info             1.0000     0.8000   0.8889  10
goodbye                1.0000     0.9000   0.9474  10
greeting               1.0000     0.5000   0.6667  10
league_info            0.6000     0.9000   0.7200  10
player_awards          1.0000     1.0000   1.0000  10
player_info            1.0000     1.0000   1.0000  10
player_stats           1.0000     0.9000   0.9474  10
team_info              0.9091     1.0000   0.9524  10
team_stats             0.9091     1.0000   0.9524  10
