"Hank Biasatti","H. Biasatti"
"Tommy Byrnes","T. Byrnes"
"Bob Fitzgerald","B. Fitzgerald"
"Dick Fitzgerald","D. Fitzgerald"
"Frank Fucarino","F. Fucarino"
"Leo Gottlieb","L. Gottlieb"
"Sonny Hertzberg","S. Hertzberg"
"Charlie Hoefer","C. Hoefer"
"Roy Hurley","R. Hurley"
"Ralph Kaplowitz","R. Kaplowitz"
"Mike McCarron","M. McCarron"
"Nat Militzok","N. Militzok"
"Harry Miller","H. Miller"
"Bob Mullens","B. Mullens"
"Dick Murphy","D. Murphy"
"George Nostrand","G. Nostrand"
"Hank Rosenstein","H. Rosenstein"
"Ed Sadowski","Ed Sadowski"
"Ossie Schectman","O. Schectman"
"Stan Stutz","S. Stutz"
"Jake Weber","J. Weber"
"Ray Wertis","R. Wertis"
"John Abramovic","J. Abramovic"
"Chet Aubuchon","C. Aubuchon"
"Norm Baker","N. Baker"
"Herschel Baltimore","H. Baltimore"
"John Barr","J. Barr"
"Moe Becker","M. Becker"
"Al Brightman","Al Brightman"
"Harold Brown","H. Brown"
"Michael Bytzura","M. Bytzura"
"Tom Callahan","T. Callahan"
"Ernie Calverley","E. Calverley"
"Don Carlson","D. Carlson"
"Chuck Connors","C. Connors"
"Aubrey Davis","A. Davis"
"Bill Davis","B. Davis"
"Bob Dille","B. Dille"
"Bob Doll","B. Doll"
"Bob Duffy","B. Duffy"
"Bob Feerick","B. Feerick"
"Warren Fenley","W. Fenley"
"Nat Frankel","N. Frankel"
"Chuck Gilmur","C. Gilmur"
"Ben Goldfaden","B. Goldfaden"
"Pop Goodwin","P. Goodwin"
"Wyndol Gray","W. Gray"
"Chick Halbert","C. Halbert"
"Cecil Hankins","C. Hankins"
"Mel Hirsch","M. Hirsch"
"Fred Jacobs","F. Jacobs"
"John Janisch","J. Janisch"
"Tony Jaros","T. Jaros"
"Tony Kappen","T. Kappen"
"Wilbert Kautz","W. Kautz"
"Grady Lewis","G. Lewis"
"John Logan","J. Logan"
"John Mahnken","J. Mahnken"
"Press Maravich","P. Maravich"
"Dino Martin","D. Martin"
"Don Martin","D. Martin"
"Ariel Maughan","A. Maughan"
"Bones McKinney","B. McKinney"
"George Mearns","G. Mearns"
"Ed Melvin","Ed Melvin"
"Stan Miasek","S. Miasek"
"Red Mihalik","R. Mihalik"
"Walt Miller","W. Miller"
"John Mills","J. Mills"
"George Munroe","G. Munroe"
"Al Negratti","Al Negratti"
"Johnny Norlander","J. Norlander"
"Stan Noszka","S. Noszka"
"Doyle Parrack","D. Parrack"
"Henry Pearcy","H. Pearcy"
"Don Putman","D. Putman"
"Mickey Rottner","M. Rottner"
"Giff Roux","G. Roux"
"Milt Schoon","M. Schoon"
"Fred Scolari","F. Scolari"
"Jim Seminoff","J. Seminoff"
"Earl Shannon","E. Shannon"
"Bob Shea","B. Shea"
"Connie Simmons","C. Simmons"
"Johnny Simmons","J. Simmons"
"Deb Smith","D. Smith"
"Art Spector","A. Spector"
