"points","pts","point","points scored","PPG","points per game"
"rebounds","reb","rebs","RPG","total rebounds"
"assists","ast","AST","APG","assists per game"
"steals","stl","STL","SPG","steals per game"
"blocks","blk","BLK","BPG","blocks per game"
"turnovers","tov","TO","turnovers per game"
"personal fouls","pf","fouls"
"field goals","FG","field goals made"
"field goal attempts","FGA"
"field goal percentage","FG%","field goal %"
"three-pointers","3P","3PT","three pointers made"
"three-point attempts","3PA"
"three-point percentage","3P%","three point %"
"free throws","FT","free throws made"
"free throw attempts","FTA"
"free throw percentage","FT%","free throw %"
"minutes","MP","minutes played"
"games","G","games played"
"games started","GS","starts"
"player efficiency rating","PER"
"true shooting percentage","TS%","true shooting"
"effective field goal percentage","eFG%"
"usage percentage","USG%","usage rate"
"win shares","WS"
"win shares per 48","WS/48"
"box plus/minus","BPM"
"value over replacement player","VORP"
"offensive box plus/minus","OBPM"
"defensive box plus/minus","DBPM"
"offensive rating","ORtg"
"defensive rating","DRtg"
"net rating","NRtg"
"pace","Pace"
"plus-minus","+/-","plus minus"
"dunks","dunks"
"corner three percentage","corner 3P%"
